feature,importance
price,0.6754880785960812
bedrooms,0.1098528617306419
accommodates,0.08831356985080692
room_typeIndex,0.04472864621599402
neighbourhood_cleansedIndex,0.027329570562342892
bathrooms,0.02468850616080389
minimum_nights,0.007087633018355574
property_typeIndex,0.004423958147882173
latitude,0.0042889251140113315
host_total_listings_count,0.0035683448537969474
beds,0.003468527291586364
review_scores_rating,0.0019392293016182894
host_is_superhostIndex,0.0012456015341976057
number_of_reviews,0.0010457412876026403
cancellation_policyIndex,0.0008211667879997534
longitude,0.0007004767535055976
review_scores_cleanliness,0.00021395654775435073
review_scores_accuracy,0.00020967145557698988
review_scores_checkin,0.00016035622585314224
review_scores_communication,0.00011067163480910518
review_scores_value,9.108815040872301e-05
review_scores_rating_na,8.190835945788388e-05
review_scores_location_na,3.5500662564434485e-05
review_scores_location,3.455105856383633e-05
review_scores_communication_na,3.096238478741134e-05
review_scores_checkin_na,2.0395524375252486e-05
instant_bookableIndex,2.0100788621796227e-05
bed_typeIndex,0.0
bedrooms_na,0.0
bathrooms_na,0.0
beds_na,0.0
review_scores_accuracy_na,0.0
review_scores_cleanliness_na,0.0
review_scores_value_na,0.0
